"Date","Price","Open","High","Low","Vol.","Change %"
"12/10/2024","127.74","131.56","131.56","127.07","38.91M","-2.39%"
"12/09/2024","130.87","135.71","135.77","130.00","57.06M","-5.57%"
"12/06/2024","138.59","141.48","142.79","137.40","33.58M","-1.96%"
"12/05/2024","141.36","143.68","143.95","140.38","29.58M","-1.83%"
"12/04/2024","143.99","142.96","144.12","141.18","25.94M","1.42%"
"12/03/2024","141.98","142.58","143.45","141.08","22.67M","-0.06%"
"12/02/2024","142.06","137.91","142.82","137.80","33.10M","3.56%"
"11/29/2024","137.18","136.24","138.59","135.78","16.09M","0.69%"
"11/27/2024","136.24","137.20","137.94","132.96","30.18M","-1.07%"
"11/26/2024","137.72","142.55","142.80","136.62","32.09M","-2.42%"
"11/25/2024","141.13","140.49","142.35","139.05","30.92M","2.01%"
"11/22/2024","138.35","137.35","139.13","137.04","21.78M","0.63%"
"11/21/2024","137.49","138.87","140.28","134.93","29.31M","-0.08%"
"11/20/2024","137.60","138.96","140.77","135.48","28.84M","-1.28%"
"11/19/2024","139.39","137.41","139.75","137.14","23.13M","0.33%"
"11/18/2024","138.93","138.18","140.90","137.21","38.78M","2.99%"
"11/15/2024","134.90","136.57","137.35","133.65","44.22M","-2.84%"
"11/14/2024","138.84","140.34","141.40","138.56","31.68M","-0.33%"
"11/13/2024","139.30","142.86","144.49","139.07","35.15M","-3.01%"
"11/12/2024","143.63","147.00","147.45","141.55","33.56M","-2.52%"
"11/11/2024","147.35","147.38","148.57","144.91","29.87M","-0.41%"
"11/08/2024","147.95","149.39","150.71","147.52","27.56M","-1.25%"
"11/07/2024","149.82","146.68","150.12","145.66","30.33M","3.25%"
"11/06/2024","145.10","144.95","145.63","141.52","32.91M","2.43%"
"11/05/2024","141.66","141.94","143.08","140.80","27.07M","0.68%"
"11/04/2024","140.71","141.70","143.64","139.72","29.12M","-0.81%"
"11/01/2024","141.86","144.44","144.54","141.32","39.03M","-1.53%"
"10/31/2024","144.07","147.80","148.68","143.33","44.39M","-3.05%"
"10/30/2024","148.60","153.01","153.12","148.10","87.70M","-10.62%"
"10/29/2024","166.25","161.10","167.51","158.94","71.90M","3.96%"
"10/28/2024","159.92","158.50","160.28","157.04","36.01M","2.36%"
"10/25/2024","156.23","155.40","158.91","155.05","29.76M","1.82%"
"10/24/2024","153.44","154.74","155.19","152.35","22.88M","0.35%"
